OK | rec=6993e655a28413914bf02cd1 | turn=1
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=2
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=3
OK | rec=699e73c9f86d87b208cbb1e9 | turn=1
OK | rec=699e73c9f86d87b208cbb1e9 | turn=2
OK | rec=699e73c9f86d87b208cbb1e9 | turn=1
OK | rec=699e73c9f86d87b208cbb1e9 | turn=2
OK | rec=699e73c9f86d87b208cbb1e9 | turn=3
OK | rec=699e73c9f86d87b208cbb1e9 | turn=1
OK | rec=699e73c9f86d87b208cbb1e9 | turn=2
OK | rec=699e73c9f86d87b208cbb1e9 | turn=1
OK | rec=699e73c9f86d87b208cbb1e9 | turn=3
OK | rec=699e73c9f86d87b208cbb1e9 | turn=1
OK | rec=699e73c9f86d87b208cbb1e9 | turn=2
OK | rec=698ff85d6bca0c342047dfb7 | turn=1
OK | rec=698ff85d6bca0c342047dfb7 | turn=2
OK | rec=698ff85d6bca0c342047dfb7 | turn=3
OK | rec=698ff85d6bca0c342047dfb7 | turn=1
OK | rec=698ff85d6bca0c342047dfb7 | turn=2
OK | rec=698ff85d6bca0c342047dfb7 | turn=3
OK | rec=698ff85d6bca0c342047dfb7 | turn=1
OK | rec=698ff85d6bca0c342047dfb7 | turn=2
OK | rec=698ff85d6bca0c342047dfb7 | turn=3
OK | rec=698ff85d6bca0c342047dfb7 | turn=1
OK | rec=698ff85d6bca0c342047dfb7 | turn=2
OK | rec=698ff85d6bca0c342047dfb7 | turn=3
OK | rec=698ff85d6bca0c342047dfb7 | turn=1
OK | rec=698ff85d6bca0c342047dfb7 | turn=2
OK | rec=698ff85d6bca0c342047dfb7 | turn=3
OK | rec=69b3b36ce42ed6415b95d421 | turn=1
OK | rec=69b3b36ce42ed6415b95d421 | turn=2
OK | rec=69b3b36ce42ed6415b95d421 | turn=3
OK | rec=69b3b36ce42ed6415b95d421 | turn=1
OK | rec=69b3b36ce42ed6415b95d421 | turn=2
OK | rec=69b3b36ce42ed6415b95d421 | turn=3
OK | rec=69b3b36ce42ed6415b95d421 | turn=1
OK | rec=69b3b36ce42ed6415b95d421 | turn=2
OK | rec=69b3b36ce42ed6415b95d421 | turn=3
OK | rec=69b3b36ce42ed6415b95d421 | turn=1
OK | rec=69b3b36ce42ed6415b95d421 | turn=2
OK | rec=69b3b36ce42ed6415b95d421 | turn=3
OK | rec=69b3b36ce42ed6415b95d421 | turn=1
OK | rec=69b3b36ce42ed6415b95d421 | turn=2
OK | rec=69b3b36ce42ed6415b95d421 | turn=3
OK | rec=69ba2a62bed23cd15cd72107 | turn=1
OK | rec=69ba2a62bed23cd15cd72107 | turn=2
OK | rec=69ba2a62bed23cd15cd72107 | turn=3
OK | rec=69ba2a62bed23cd15cd72107 | turn=1
OK | rec=69ba2a62bed23cd15cd72107 | turn=2
OK | rec=69ba2a62bed23cd15cd72107 | turn=3
OK | rec=69ba2a62bed23cd15cd72107 | turn=1
OK | rec=69ba2a62bed23cd15cd72107 | turn=2
OK | rec=69ba2a62bed23cd15cd72107 | turn=3
OK | rec=69ba2a62bed23cd15cd72107 | turn=1
OK | rec=69ba2a62bed23cd15cd72107 | turn=2
OK | rec=69ba2a62bed23cd15cd72107 | turn=3
OK | rec=69ba2a62bed23cd15cd72107 | turn=1
OK | rec=69ba2a62bed23cd15cd72107 | turn=2
OK | rec=69ba2a62bed23cd15cd72107 | turn=3
OK | rec=69aa7893dd790f38c48b6461 | turn=1
OK | rec=69aa7893dd790f38c48b6461 | turn=2
OK | rec=69aa7893dd790f38c48b6461 | turn=3
OK | rec=69aa7893dd790f38c48b6461 | turn=1
OK | rec=69aa7893dd790f38c48b6461 | turn=2
OK | rec=69aa7893dd790f38c48b6461 | turn=3
OK | rec=69aa7893dd790f38c48b6461 | turn=1
OK | rec=69aa7893dd790f38c48b6461 | turn=2
OK | rec=69aa7893dd790f38c48b6461 | turn=3
OK | rec=69aa7893dd790f38c48b6461 | turn=1
OK | rec=69aa7893dd790f38c48b6461 | turn=2
OK | rec=69aa7893dd790f38c48b6461 | turn=3
