OK | rec=694e4fa7aca96f5efbe2ff25 | turn=1
OK | rec=699e73c9f86d87b208cbb1e9 | turn=1
OK | rec=699e73c9f86d87b208cbb1e9 | turn=2
OK | rec=699e73c9f86d87b208cbb1e9 | turn=3
OK | rec=69b3b36ce42ed6415b95d421 | turn=1
OK | rec=69b3b36ce42ed6415b95d421 | turn=2
OK | rec=69b3b36ce42ed6415b95d421 | turn=3
OK | rec=6993e655a28413914bf02cd1 | turn=1
OK | rec=6993e655a28413914bf02cd1 | turn=2
OK | rec=6993e655a28413914bf02cd1 | turn=3
OK | rec=698ff85d6bca0c342047dfb7 | turn=1
OK | rec=698ff85d6bca0c342047dfb7 | turn=3
OK | rec=698ff85d6bca0c342047dfb7 | turn=1
OK | rec=698ff85d6bca0c342047dfb7 | turn=2
OK | rec=698ff85d6bca0c342047dfb7 | turn=3
OK | rec=69ba2a62bed23cd15cd72107 | turn=1
OK | rec=69ba2a62bed23cd15cd72107 | turn=2
OK | rec=69ba2a62bed23cd15cd72107 | turn=3
OK | rec=69b3b36ce42ed6415b95d421 | turn=1
OK | rec=69b3b36ce42ed6415b95d421 | turn=2
OK | rec=69b3b36ce42ed6415b95d421 | turn=3
OK | rec=69ba2a62bed23cd15cd72107 | turn=1
OK | rec=69ba2a62bed23cd15cd72107 | turn=2
OK | rec=69ba2a62bed23cd15cd72107 | turn=3
OK | rec=699e73c9f86d87b208cbb1e9 | turn=1
OK | rec=699e73c9f86d87b208cbb1e9 | turn=2
OK | rec=6974a1a1af17f554aa20831d | turn=1
OK | rec=6974a1a1af17f554aa20831d | turn=3
OK | rec=69b3b36ce42ed6415b95d421 | turn=1
OK | rec=69b3b36ce42ed6415b95d421 | turn=2
OK | rec=69b3b36ce42ed6415b95d421 | turn=3
OK | rec=69aa7893dd790f38c48b6461 | turn=1
OK | rec=69aa7893dd790f38c48b6461 | turn=2
OK | rec=69aa7893dd790f38c48b6461 | turn=3
OK | rec=6993e655a28413914bf02cd1 | turn=1
OK | rec=6993e655a28413914bf02cd1 | turn=2
OK | rec=6993e655a28413914bf02cd1 | turn=3
OK | rec=698ff85d6bca0c342047dfb7 | turn=1
OK | rec=698ff85d6bca0c342047dfb7 | turn=2
OK | rec=6974a1a1af17f554aa20831d | turn=1
OK | rec=6974a1a1af17f554aa20831d | turn=2
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=1
OK | rec=694e4fa7aca96f5efbe2ff25 | turn=2
OK | rec=69aa7893dd790f38c48b6461 | turn=1
OK | rec=69aa7893dd790f38c48b6461 | turn=2
OK | rec=69aa7893dd790f38c48b6461 | turn=3
OK | rec=69b3b36ce42ed6415b95d421 | turn=1
OK | rec=69b3b36ce42ed6415b95d421 | turn=2
OK | rec=69b3b36ce42ed6415b95d421 | turn=3
OK | rec=69ba2a62bed23cd15cd72107 | turn=1
OK | rec=69ba2a62bed23cd15cd72107 | turn=2
OK | rec=69ba2a62bed23cd15cd72107 | turn=3
OK | rec=698c29a06bca0c342047d27b | turn=1
OK | rec=698c29a06bca0c342047d27b | turn=2
OK | rec=698c29a06bca0c342047d27b | turn=3
OK | rec=69b3b36ce42ed6415b95d421 | turn=1
OK | rec=69b3b36ce42ed6415b95d421 | turn=2
OK | rec=69b3b36ce42ed6415b95d421 | turn=3
OK | rec=698ff85d6bca0c342047dfb7 | turn=1
OK | rec=698ff85d6bca0c342047dfb7 | turn=2
OK | rec=698ff85d6bca0c342047dfb7 | turn=3
OK | rec=698c29a06bca0c342047d27b | turn=1
OK | rec=698c29a06bca0c342047d27b | turn=2
OK | rec=698c29a06bca0c342047d27b | turn=3
OK | rec=698c29a06bca0c342047d27b | turn=1
OK | rec=698c29a06bca0c342047d27b | turn=2
OK | rec=698c29a06bca0c342047d27b | turn=3
OK | rec=699e73c9f86d87b208cbb1e9 | turn=1
OK | rec=699e73c9f86d87b208cbb1e9 | turn=3
OK | rec=698aafaa6bca0c342047cb16 | turn=1
OK | rec=698aafaa6bca0c342047cb16 | turn=2
OK | rec=698aafaa6bca0c342047cb16 | turn=3
OK | rec=69aa7893dd790f38c48b6461 | turn=1
OK | rec=69aa7893dd790f38c48b6461 | turn=2
OK | rec=69aa7893dd790f38c48b6461 | turn=3
OK | rec=698ff85d6bca0c342047dfb7 | turn=1
OK | rec=698ff85d6bca0c342047dfb7 | turn=2
OK | rec=698ff85d6bca0c342047dfb7 | turn=3
OK | rec=698c29a06bca0c342047d27b | turn=1
OK | rec=698c29a06bca0c342047d27b | turn=2
OK | rec=698c29a06bca0c342047d27b | turn=3
OK | rec=69aa7893dd790f38c48b6461 | turn=1
OK | rec=69aa7893dd790f38c48b6461 | turn=2
OK | rec=69aa7893dd790f38c48b6461 | turn=3
OK | rec=698aafaa6bca0c342047cb16 | turn=1
OK | rec=698aafaa6bca0c342047cb16 | turn=2
OK | rec=698aafaa6bca0c342047cb16 | turn=3
OK | rec=698aafaa6bca0c342047cb16 | turn=1
OK | rec=698aafaa6bca0c342047cb16 | turn=2
OK | rec=698aafaa6bca0c342047cb16 | turn=3
OK | rec=69aa7893dd790f38c48b6461 | turn=1
OK | rec=69aa7893dd790f38c48b6461 | turn=2
OK | rec=69aa7893dd790f38c48b6461 | turn=3
OK | rec=69ab9f4fc2b602929b3707ef | turn=1
OK | rec=69ab9f4fc2b602929b3707ef | turn=2
OK | rec=69ab9f4fc2b602929b3707ef | turn=3
OK | rec=698c29a06bca0c342047d27b | turn=1
OK | rec=698c29a06bca0c342047d27b | turn=2
OK | rec=698c29a06bca0c342047d27b | turn=3
OK | rec=69ab9f4fc2b602929b3707ef | turn=1
OK | rec=69ab9f4fc2b602929b3707ef | turn=2
OK | rec=69ab9f4fc2b602929b3707ef | turn=3
OK | rec=69ba2a62bed23cd15cd72107 | turn=1
OK | rec=69ba2a62bed23cd15cd72107 | turn=2
OK | rec=69ba2a62bed23cd15cd72107 | turn=3
OK | rec=69ab9f4fc2b602929b3707ef | turn=1
OK | rec=69ab9f4fc2b602929b3707ef | turn=2
OK | rec=69ab9f4fc2b602929b3707ef | turn=3
OK | rec=6996862fa28413914bf03a94 | turn=1
OK | rec=6996862fa28413914bf03a94 | turn=2
OK | rec=6952556614a8273593a959ef | turn=1
OK | rec=6952556614a8273593a959ef | turn=2
OK | rec=6952556614a8273593a959ef | turn=3
OK | rec=698aafaa6bca0c342047cb16 | turn=1
OK | rec=698aafaa6bca0c342047cb16 | turn=2
OK | rec=698aafaa6bca0c342047cb16 | turn=3
OK | rec=6952556614a8273593a959ef | turn=2
OK | rec=69ba62b3bed23cd15cd72523 | turn=1
OK | rec=69ba62b3bed23cd15cd72523 | turn=2
OK | rec=6952556614a8273593a959ef | turn=1
OK | rec=6952556614a8273593a959ef | turn=2
OK | rec=6952556614a8273593a959ef | turn=3
OK | rec=69ba62b3bed23cd15cd72523 | turn=1
OK | rec=69ba62b3bed23cd15cd72523 | turn=2
OK | rec=69ba62b3bed23cd15cd72523 | turn=3
OK | rec=69ba62b3bed23cd15cd72523 | turn=1
OK | rec=69ba62b3bed23cd15cd72523 | turn=2
OK | rec=69ba62b3bed23cd15cd72523 | turn=3
OK | rec=698aafaa6bca0c342047cb16 | turn=2
OK | rec=698aafaa6bca0c342047cb16 | turn=3
OK | rec=69ab9f4fc2b602929b3707ef | turn=1
OK | rec=69ab9f4fc2b602929b3707ef | turn=2
OK | rec=69ab9f4fc2b602929b3707ef | turn=3
OK | rec=69ba62b3bed23cd15cd72523 | turn=1
OK | rec=69ba62b3bed23cd15cd72523 | turn=2
OK | rec=69ba62b3bed23cd15cd72523 | turn=3
OK | rec=6993e6e9a28413914bf02ceb | turn=1
OK | rec=6993e6e9a28413914bf02ceb | turn=2
OK | rec=6993e6e9a28413914bf02ceb | turn=3
OK | rec=69bbb46cd1cc04077ec5f267 | turn=1
OK | rec=69bbb46cd1cc04077ec5f267 | turn=2
OK | rec=69bbb46cd1cc04077ec5f267 | turn=3
OK | rec=69ba2a62bed23cd15cd72107 | turn=1
OK | rec=69ba2a62bed23cd15cd72107 | turn=2
OK | rec=69ba2a62bed23cd15cd72107 | turn=3
OK | rec=6993e6e9a28413914bf02ceb | turn=1
OK | rec=6993e6e9a28413914bf02ceb | turn=2
OK | rec=6993e6e9a28413914bf02ceb | turn=3
OK | rec=694e29f4aca96f5efbe2fd6b | turn=1
OK | rec=6993e6e9a28413914bf02ceb | turn=1
OK | rec=6993e6e9a28413914bf02ceb | turn=2
OK | rec=6993e6e9a28413914bf02ceb | turn=3
OK | rec=6952556614a8273593a959ef | turn=1
OK | rec=6952556614a8273593a959ef | turn=2
OK | rec=6952556614a8273593a959ef | turn=3
OK | rec=69b3d604e42ed6415b95d575 | turn=1
OK | rec=69b3d604e42ed6415b95d575 | turn=2
OK | rec=69b3d604e42ed6415b95d575 | turn=3
OK | rec=694e29f4aca96f5efbe2fd6b | turn=1
OK | rec=694e29f4aca96f5efbe2fd6b | turn=2
OK | rec=69b3d604e42ed6415b95d575 | turn=1
OK | rec=69b3d604e42ed6415b95d575 | turn=2
OK | rec=69b3d604e42ed6415b95d575 | turn=3
OK | rec=694e29f4aca96f5efbe2fd6b | turn=1
OK | rec=6952556614a8273593a959ef | turn=1
OK | rec=6993e6e9a28413914bf02ceb | turn=1
OK | rec=6993e6e9a28413914bf02ceb | turn=2
OK | rec=6993e6e9a28413914bf02ceb | turn=3
OK | rec=69b3d604e42ed6415b95d575 | turn=1
OK | rec=69b3d604e42ed6415b95d575 | turn=2
OK | rec=69b3d604e42ed6415b95d575 | turn=3
OK | rec=69b4f757c38a976c56f23868 | turn=1
OK | rec=69b4f757c38a976c56f23868 | turn=3
OK | rec=69ab9ee0c2b602929b3707a8 | turn=1
OK | rec=69ab9ee0c2b602929b3707a8 | turn=2
OK | rec=69ab9ee0c2b602929b3707a8 | turn=3
OK | rec=698184b3622aa3a183071168 | turn=1
OK | rec=698184b3622aa3a183071168 | turn=3
OK | rec=69b4f757c38a976c56f23868 | turn=1
OK | rec=69b4f757c38a976c56f23868 | turn=2
OK | rec=69b4f757c38a976c56f23868 | turn=3
OK | rec=69b4f757c38a976c56f23868 | turn=1
OK | rec=69b4f757c38a976c56f23868 | turn=2
OK | rec=69b4f757c38a976c56f23868 | turn=3
OK | rec=6993e3dfa28413914bf02c59 | turn=1
OK | rec=6993e3dfa28413914bf02c59 | turn=2
OK | rec=69ab9ee0c2b602929b3707a8 | turn=1
OK | rec=69ab9ee0c2b602929b3707a8 | turn=2
OK | rec=69ab9ee0c2b602929b3707a8 | turn=3
OK | rec=698184b3622aa3a183071168 | turn=2
OK | rec=698184b3622aa3a183071168 | turn=3
OK | rec=69ab9ee0c2b602929b3707a8 | turn=1
OK | rec=69ab9ee0c2b602929b3707a8 | turn=3
OK | rec=698184b3622aa3a183071168 | turn=1
OK | rec=698184b3622aa3a183071168 | turn=2
OK | rec=698184b3622aa3a183071168 | turn=3
OK | rec=6993e3dfa28413914bf02c59 | turn=1
OK | rec=69b3d604e42ed6415b95d575 | turn=1
OK | rec=69b3d604e42ed6415b95d575 | turn=2
OK | rec=69b3d604e42ed6415b95d575 | turn=3
OK | rec=69b4f757c38a976c56f23868 | turn=1
OK | rec=69b4f757c38a976c56f23868 | turn=2
OK | rec=69b4f757c38a976c56f23868 | turn=3
OK | rec=6993e6e9a28413914bf02ceb | turn=1
OK | rec=6993e6e9a28413914bf02ceb | turn=2
OK | rec=6993e3dfa28413914bf02c59 | turn=1
OK | rec=69b4f757c38a976c56f23868 | turn=1
OK | rec=69b4f757c38a976c56f23868 | turn=2
OK | rec=69b4f757c38a976c56f23868 | turn=3
OK | rec=69ab9ee0c2b602929b3707a8 | turn=1
OK | rec=69ab9ee0c2b602929b3707a8 | turn=2
OK | rec=69ab9ee0c2b602929b3707a8 | turn=3
OK | rec=69856be79208ee23a2c44893 | turn=1
OK | rec=69856be79208ee23a2c44893 | turn=2
OK | rec=69856be79208ee23a2c44893 | turn=3
OK | rec=6993e3dfa28413914bf02c59 | turn=1
OK | rec=6993e3dfa28413914bf02c59 | turn=3
OK | rec=692a9746b202540091528ad1 | turn=1
OK | rec=69ab9ee0c2b602929b3707a8 | turn=1
OK | rec=69ab9ee0c2b602929b3707a8 | turn=2
OK | rec=69ab9ee0c2b602929b3707a8 | turn=3
OK | rec=6993e3dfa28413914bf02c59 | turn=1
OK | rec=6993e3dfa28413914bf02c59 | turn=2
OK | rec=6993e3dfa28413914bf02c59 | turn=3
OK | rec=69856be79208ee23a2c44893 | turn=1
OK | rec=69856be79208ee23a2c44893 | turn=2
OK | rec=69856be79208ee23a2c44893 | turn=3
OK | rec=692a9746b202540091528ad1 | turn=1
OK | rec=692a9746b202540091528ad1 | turn=3
OK | rec=698184b3622aa3a183071168 | turn=2
OK | rec=692a9746b202540091528ad1 | turn=1
OK | rec=692a9746b202540091528ad1 | turn=3
OK | rec=69b3d604e42ed6415b95d575 | turn=2
OK | rec=69b3d604e42ed6415b95d575 | turn=3
OK | rec=69b0e513f1a5801ca99b053f | turn=1
OK | rec=69b0e513f1a5801ca99b053f | turn=2
OK | rec=69b0e513f1a5801ca99b053f | turn=3
OK | rec=69b0e513f1a5801ca99b053f | turn=1
OK | rec=69b0e513f1a5801ca99b053f | turn=2
OK | rec=69b0e513f1a5801ca99b053f | turn=3
OK | rec=692a9746b202540091528ad1 | turn=3
OK | rec=697ae99faf17f554aa2093f4 | turn=1
OK | rec=697ae99faf17f554aa2093f4 | turn=1
OK | rec=697ae99faf17f554aa2093f4 | turn=2
OK | rec=697ae99faf17f554aa2093f4 | turn=3
OK | rec=692a9746b202540091528ad1 | turn=1
OK | rec=692a9746b202540091528ad1 | turn=2
OK | rec=692a9746b202540091528ad1 | turn=3
OK | rec=69b0e513f1a5801ca99b053f | turn=1
OK | rec=69b0e513f1a5801ca99b053f | turn=2
OK | rec=69b0e513f1a5801ca99b053f | turn=1
OK | rec=69b0e513f1a5801ca99b053f | turn=2
OK | rec=69b0e513f1a5801ca99b053f | turn=3
OK | rec=6953bc3e14a8273593a96055 | turn=1
OK | rec=6953bc3e14a8273593a96055 | turn=2
OK | rec=6953bc3e14a8273593a96055 | turn=3
OK | rec=6953bc3e14a8273593a96055 | turn=1
OK | rec=6953bc3e14a8273593a96055 | turn=2
OK | rec=6953bc3e14a8273593a96055 | turn=3
OK | rec=69856be79208ee23a2c44893 | turn=3
OK | rec=69ab9f3bc2b602929b3707e3 | turn=1
OK | rec=69ab9f3bc2b602929b3707e3 | turn=3
OK | rec=698184b3622aa3a183071168 | turn=1
OK | rec=698184b3622aa3a183071168 | turn=2
OK | rec=697ae99faf17f554aa2093f4 | turn=2
OK | rec=697ae99faf17f554aa2093f4 | turn=3
OK | rec=6953bc3e14a8273593a96055 | turn=1
OK | rec=6953bc3e14a8273593a96055 | turn=2
OK | rec=6953bc3e14a8273593a96055 | turn=3
OK | rec=69ab9f3bc2b602929b3707e3 | turn=1
OK | rec=69ab9f3bc2b602929b3707e3 | turn=2
OK | rec=69ab9f3bc2b602929b3707e3 | turn=3
OK | rec=69856be79208ee23a2c44893 | turn=1
OK | rec=69856be79208ee23a2c44893 | turn=2
OK | rec=69ba2e35bed23cd15cd72172 | turn=1
OK | rec=69ba2e35bed23cd15cd72172 | turn=2
OK | rec=69ba2e35bed23cd15cd72172 | turn=3
OK | rec=6943db9cba7dbbec181cdd59 | turn=1
OK | rec=6943db9cba7dbbec181cdd59 | turn=2
OK | rec=6943db9cba7dbbec181cdd59 | turn=1
OK | rec=6943db9cba7dbbec181cdd59 | turn=2
OK | rec=6943db9cba7dbbec181cdd59 | turn=3
OK | rec=6953bc3e14a8273593a96055 | turn=1
OK | rec=6953bc3e14a8273593a96055 | turn=2
OK | rec=6953bc3e14a8273593a96055 | turn=3
OK | rec=69ba2e35bed23cd15cd72172 | turn=1
OK | rec=69ba2e35bed23cd15cd72172 | turn=2
OK | rec=69ba2e35bed23cd15cd72172 | turn=3
OK | rec=69ab9f3bc2b602929b3707e3 | turn=1
OK | rec=69ab9f3bc2b602929b3707e3 | turn=2
OK | rec=69ab9f3bc2b602929b3707e3 | turn=3
OK | rec=6943db9cba7dbbec181cdd59 | turn=2
OK | rec=6943db9cba7dbbec181cdd59 | turn=3
OK | rec=69ba2e35bed23cd15cd72172 | turn=1
OK | rec=69ba2e35bed23cd15cd72172 | turn=2
OK | rec=69ba2e35bed23cd15cd72172 | turn=3
OK | rec=6943db9cba7dbbec181cdd59 | turn=1
OK | rec=6943db9cba7dbbec181cdd59 | turn=2
OK | rec=6943db9cba7dbbec181cdd59 | turn=3
OK | rec=69ab9f3bc2b602929b3707e3 | turn=1
OK | rec=69ab9f3bc2b602929b3707e3 | turn=2
OK | rec=69ab9f3bc2b602929b3707e3 | turn=3
OK | rec=6943db9cba7dbbec181cdd59 | turn=1
OK | rec=6943db9cba7dbbec181cdd59 | turn=2
OK | rec=6943db9cba7dbbec181cdd59 | turn=3
OK | rec=69ab9f3bc2b602929b3707e3 | turn=1
OK | rec=69ab9f3bc2b602929b3707e3 | turn=2
OK | rec=69ab9f3bc2b602929b3707e3 | turn=3
OK | rec=69ba2e35bed23cd15cd72172 | turn=1
OK | rec=69ba2e35bed23cd15cd72172 | turn=2
OK | rec=69ba2e35bed23cd15cd72172 | turn=3
OK | rec=6937df525dcbf874d2f16dc9 | turn=1
OK | rec=6937df525dcbf874d2f16dc9 | turn=2
OK | rec=6937df525dcbf874d2f16dc9 | turn=3
OK | rec=69ba2e35bed23cd15cd72172 | turn=1
OK | rec=69ba2e35bed23cd15cd72172 | turn=2
OK | rec=69ba2e35bed23cd15cd72172 | turn=3
OK | rec=698ab3516bca0c342047cb5c | turn=1
OK | rec=698ab3516bca0c342047cb5c | turn=2
OK | rec=698ab3516bca0c342047cb5c | turn=3
OK | rec=698ab3516bca0c342047cb5c | turn=1
OK | rec=698ab3516bca0c342047cb5c | turn=2
OK | rec=698ab3516bca0c342047cb5c | turn=3
OK | rec=69856be79208ee23a2c44893 | turn=1
OK | rec=69856be79208ee23a2c44893 | turn=2
OK | rec=69b0e513f1a5801ca99b053f | turn=1
OK | rec=69b0e513f1a5801ca99b053f | turn=2
OK | rec=69b0e513f1a5801ca99b053f | turn=3
OK | rec=698ab3516bca0c342047cb5c | turn=1
OK | rec=698ab3516bca0c342047cb5c | turn=2
OK | rec=698ab3516bca0c342047cb5c | turn=3
OK | rec=698ab3516bca0c342047cb5c | turn=1
OK | rec=698ab3516bca0c342047cb5c | turn=2
OK | rec=698ab3516bca0c342047cb5c | turn=3
OK | rec=6937df525dcbf874d2f16dc9 | turn=1
OK | rec=6937df525dcbf874d2f16dc9 | turn=2
OK | rec=6937df525dcbf874d2f16dc9 | turn=1
OK | rec=6969c953774b35f1baef06de | turn=1
OK | rec=6969c953774b35f1baef06de | turn=2
OK | rec=698ab3516bca0c342047cb5c | turn=1
OK | rec=698ab3516bca0c342047cb5c | turn=2
OK | rec=698ab3516bca0c342047cb5c | turn=3
OK | rec=69a11b9d993748a05837b10a | turn=1
OK | rec=69a11b9d993748a05837b10a | turn=2
OK | rec=69a11b9d993748a05837b10a | turn=3
OK | rec=6969c953774b35f1baef06de | turn=1
OK | rec=6969c953774b35f1baef06de | turn=2
OK | rec=6969c953774b35f1baef06de | turn=3
OK | rec=69a11b9d993748a05837b10a | turn=1
OK | rec=69a11b9d993748a05837b10a | turn=2
OK | rec=69a11b9d993748a05837b10a | turn=3
OK | rec=6969c953774b35f1baef06de | turn=1
OK | rec=6969c953774b35f1baef06de | turn=2
OK | rec=6969c953774b35f1baef06de | turn=3
OK | rec=693cf4291f1d4023652f6f2a | turn=3
OK | rec=69a11b9d993748a05837b10a | turn=1
OK | rec=69a11b9d993748a05837b10a | turn=2
OK | rec=69a11b9d993748a05837b10a | turn=3
OK | rec=6969c953774b35f1baef06de | turn=1
OK | rec=6969c953774b35f1baef06de | turn=2
OK | rec=6969c953774b35f1baef06de | turn=3
OK | rec=693cf4291f1d4023652f6f2a | turn=1
OK | rec=693cf4291f1d4023652f6f2a | turn=2
OK | rec=693cf4291f1d4023652f6f2a | turn=3
OK | rec=6937df525dcbf874d2f16dc9 | turn=1
OK | rec=6937df525dcbf874d2f16dc9 | turn=2
OK | rec=693cf4291f1d4023652f6f2a | turn=1
OK | rec=693cf4291f1d4023652f6f2a | turn=2
OK | rec=6969c953774b35f1baef06de | turn=1
OK | rec=6969c953774b35f1baef06de | turn=2
OK | rec=6969c953774b35f1baef06de | turn=3
OK | rec=69a11b9d993748a05837b10a | turn=1
OK | rec=69a11b9d993748a05837b10a | turn=2
OK | rec=69a11b9d993748a05837b10a | turn=3
OK | rec=696f0bb281d6147851ccd831 | turn=1
OK | rec=696f0bb281d6147851ccd831 | turn=3
OK | rec=69ab9ed0c2b602929b37079e | turn=1
OK | rec=69ab9ed0c2b602929b37079e | turn=2
OK | rec=69ab9ed0c2b602929b37079e | turn=3
OK | rec=69ab9ed0c2b602929b37079e | turn=1
OK | rec=69ab9ed0c2b602929b37079e | turn=2
OK | rec=69ab9ed0c2b602929b37079e | turn=3
OK | rec=693cf4291f1d4023652f6f2a | turn=2
OK | rec=693cf4291f1d4023652f6f2a | turn=3
OK | rec=699293076bca0c342047e6ba | turn=1
OK | rec=699293076bca0c342047e6ba | turn=2
OK | rec=699293076bca0c342047e6ba | turn=3
OK | rec=696f0bb281d6147851ccd831 | turn=1
OK | rec=696f0bb281d6147851ccd831 | turn=2
OK | rec=696f0bb281d6147851ccd831 | turn=3
OK | rec=6953bc3e14a8273593a96055 | turn=1
OK | rec=6953bc3e14a8273593a96055 | turn=2
OK | rec=6953bc3e14a8273593a96055 | turn=3
OK | rec=69a11b9d993748a05837b10a | turn=1
OK | rec=69a11b9d993748a05837b10a | turn=2
OK | rec=69a11b9d993748a05837b10a | turn=3
OK | rec=69ab9ed0c2b602929b37079e | turn=1
OK | rec=69ab9ed0c2b602929b37079e | turn=2
OK | rec=69ab9ed0c2b602929b37079e | turn=3
OK | rec=696f0bb281d6147851ccd831 | turn=1
OK | rec=696f0bb281d6147851ccd831 | turn=2
OK | rec=69ab9ed0c2b602929b37079e | turn=1
OK | rec=69ab9ed0c2b602929b37079e | turn=2
OK | rec=69ab9ed0c2b602929b37079e | turn=3
OK | rec=699293076bca0c342047e6ba | turn=1
OK | rec=699293076bca0c342047e6ba | turn=2
OK | rec=699293076bca0c342047e6ba | turn=3
OK | rec=699293e56bca0c342047e6f4 | turn=1
OK | rec=699293e56bca0c342047e6f4 | turn=2
OK | rec=699293e56bca0c342047e6f4 | turn=3
OK | rec=699293e56bca0c342047e6f4 | turn=1
OK | rec=699293e56bca0c342047e6f4 | turn=2
OK | rec=699293e56bca0c342047e6f4 | turn=3
OK | rec=6937df525dcbf874d2f16dc9 | turn=1
OK | rec=6937df525dcbf874d2f16dc9 | turn=2
OK | rec=6937df525dcbf874d2f16dc9 | turn=3
OK | rec=69ab9ed0c2b602929b37079e | turn=1
OK | rec=69ab9ed0c2b602929b37079e | turn=2
OK | rec=69ab9ed0c2b602929b37079e | turn=3
OK | rec=699293e56bca0c342047e6f4 | turn=1
OK | rec=699293e56bca0c342047e6f4 | turn=2
OK | rec=699293e56bca0c342047e6f4 | turn=3
OK | rec=699293076bca0c342047e6ba | turn=1
OK | rec=699293076bca0c342047e6ba | turn=2
OK | rec=699293076bca0c342047e6ba | turn=3
OK | rec=699293e56bca0c342047e6f4 | turn=1
OK | rec=699293e56bca0c342047e6f4 | turn=2
OK | rec=699293e56bca0c342047e6f4 | turn=3
OK | rec=69b3b30ae42ed6415b95d3fd | turn=1
OK | rec=69b3b30ae42ed6415b95d3fd | turn=2
OK | rec=69b3b30ae42ed6415b95d3fd | turn=3
OK | rec=699293076bca0c342047e6ba | turn=1
OK | rec=699293076bca0c342047e6ba | turn=2
OK | rec=699293076bca0c342047e6ba | turn=3
OK | rec=699293076bca0c342047e6ba | turn=1
OK | rec=699293076bca0c342047e6ba | turn=2
OK | rec=699293076bca0c342047e6ba | turn=3
OK | rec=69b3b30ae42ed6415b95d3fd | turn=1
OK | rec=69b3b30ae42ed6415b95d3fd | turn=2
OK | rec=69b3b30ae42ed6415b95d3fd | turn=3
OK | rec=69b3b30ae42ed6415b95d3fd | turn=1
OK | rec=69b3b30ae42ed6415b95d3fd | turn=2
OK | rec=69b3b30ae42ed6415b95d3fd | turn=3
OK | rec=69745d50af17f554aa20800a | turn=1
OK | rec=69745d50af17f554aa20800a | turn=3
OK | rec=69bb85c8bed23cd15cd72af3 | turn=1
OK | rec=69b3b30ae42ed6415b95d3fd | turn=1
OK | rec=69b3b30ae42ed6415b95d3fd | turn=2
OK | rec=69b3b30ae42ed6415b95d3fd | turn=3
OK | rec=693cf4291f1d4023652f6f2a | turn=1
OK | rec=693cf4291f1d4023652f6f2a | turn=2
OK | rec=693cf4291f1d4023652f6f2a | turn=3
OK | rec=69b3b30ae42ed6415b95d3fd | turn=1
OK | rec=69b3b30ae42ed6415b95d3fd | turn=2
OK | rec=69b3b30ae42ed6415b95d3fd | turn=3
OK | rec=69745d50af17f554aa20800a | turn=1
OK | rec=69745d50af17f554aa20800a | turn=2
OK | rec=69bb85c8bed23cd15cd72af3 | turn=1
OK | rec=69bb85c8bed23cd15cd72af3 | turn=3
OK | rec=69bb85c8bed23cd15cd72af3 | turn=1
OK | rec=69bb85c8bed23cd15cd72af3 | turn=2
